Searching for all records on 2026-02-10:
Total rows today: 654

Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300368A, Target: 208, Comp: 102, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300368A, Target: 208, Comp: 102, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300368A, Target: 208, Comp: 102, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300368A, Target: 208, Comp: 102, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300368A, Target: 208, Comp: 102, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300368A, Target: 208, Comp: 102, CP: P1
Date: 2026-02-10 00:00:00, Part: 14205400024A, Target: 35, Comp: 24, CP: P1
Date: 2026-02-10 00:00:00, Part: 14205400024A, Target: 35, Comp: 24, CP: P1
Date: 2026-02-10 00:00:00, Part: 14205400023A, Target: 7, Comp: 5, CP: P1
Date: 2026-02-10 00:00:00, Part: 14205400023A, Target: 7, Comp: 5, CP: P1
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14202100035A, Target: 79, Comp: 2, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300412A, Target: 104, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201333A, Target: 63, Comp: 0, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201333A, Target: 63, Comp: 0, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201333A, Target: 63, Comp: 0, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201235A, Target: 102, Comp: 67, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201235A, Target: 102, Comp: 67, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201235A, Target: 102, Comp: 67, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201235A, Target: 102, Comp: 67, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201235A, Target: 102, Comp: 67, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201235A, Target: 102, Comp: 67, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201236A, Target: 108, Comp: 35, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201236A, Target: 108, Comp: 35, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201236A, Target: 108, Comp: 35, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201236A, Target: 108, Comp: 35, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201236A, Target: 108, Comp: 35, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201236A, Target: 108, Comp: 35, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201236A, Target: 108, Comp: 35, CP: C
Date: 2026-02-10 00:00:00, Part: 14211200056A, Target: 102, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14211200056A, Target: 102, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14211200056A, Target: 102, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14211200056A, Target: 102, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14211200056A, Target: 102, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14211200056A, Target: 102, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14211200056A, Target: 102, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14211200056A, Target: 102, Comp: 0, CP: C
Date: 2026-02-10 00:00:00, Part: 14201201213A, Target: 150, Comp: 25, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201213A, Target: 150, Comp: 25, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201213A, Target: 150, Comp: 25, CP: P2
